factor,ic_rank,ic_score,returns_rank,sharpe,lasso_selected,rf_rank,mi_rank,forward_selected,avg_rank,selection_count
factor_1,1,0.0,1,0.3521196152786963,1,1,1,0,1.0,1
factor_2,2,0.0,2,-0.46705092459865843,0,2,2,0,2.0,0
factor_3,3,0.0,3,0.22034832666005102,0,3,3,0,3.0,0
factor_4,4,0.0,4,-0.3423176113631631,0,4,4,0,4.0,0
factor_5,5,0.0,5,0.03608673115383016,0,5,5,0,5.0,0
factor_6,6,0.0,6,0.3890532607949858,0,6,6,0,6.0,0
factor_7,7,0.0,7,-0.07838989612292192,0,7,7,0,7.0,0
factor_8,8,0.0,8,-0.41327780844006656,0,8,8,0,8.0,0
factor_9,9,0.0,9,0.1594359522350747,0,9,9,0,9.0,0
factor_10,10,0.0,10,-0.5766525120786083,0,10,10,0,10.0,0
factor_11,11,0.0,11,-0.17150306763046058,0,11,11,0,11.0,0
factor_12,12,0.0,12,0.37142418023378493,0,12,12,0,12.0,0
factor_13,13,0.0,13,-0.07916982424583813,0,13,13,0,13.0,0
factor_14,14,0.0,14,-0.23272661376640053,0,14,14,0,14.0,0
factor_15,15,0.0,15,0.017872038360840052,0,15,15,0,15.0,0
factor_16,16,0.0,16,0.5657783948269902,0,16,16,0,16.0,0
factor_17,17,0.0,17,0.8463728198529687,0,17,17,0,17.0,0
factor_18,18,0.0,18,0.4776032902326407,0,18,18,0,18.0,0
factor_19,19,0.0,19,0.11602854390523122,0,19,19,0,19.0,0
factor_20,20,0.0,20,-0.33677045469789574,0,20,20,0,20.0,0
factor_21,21,0.0,21,-0.6002816761949684,0,21,21,0,21.0,0
factor_22,22,0.0,22,-0.24306447837432515,0,22,22,0,22.0,0
factor_23,23,0.0,23,-0.2980688356812004,0,23,23,0,23.0,0
factor_24,24,0.0,24,0.2700309743840726,0,24,24,0,24.0,0
factor_25,25,0.0,25,0.7408519494567464,0,25,25,0,25.0,0
factor_26,26,0.0,26,0.3862123571006163,0,26,26,0,26.0,0
factor_27,27,0.0,27,-0.4579767347427183,0,27,27,0,27.0,0
factor_28,28,0.0,28,0.24988947391519495,0,28,28,0,28.0,0
factor_29,29,0.0,29,0.36846935792854557,0,29,29,0,29.0,0
factor_30,30,0.0,30,0.03615149859893549,0,30,30,0,30.0,0
